BallotName
Wilson, Johnny
D'SILVA, REUBEN
Horne, Fred
Arrington, Cherlyn
Atamian, Garo
Hart, Richard "Rick"
Love, John "Jack"
Pinjuv, Guy
Schiffman, Steven Mitchell "The Mench"
Stoltz, Eric
Weiss, Michael
Carter, Patrick
Hamilton, Eddie "MisterMago"
Hammond, Scott
Jones, Stephanie "BdyBySteph"
La Croix, Thomas Mark
McKeon, David
Teijeiro, Annette
HILL, RICHARD
Leavitt, Glen
McCarthy, Matt
ATKINS, TIM
Cepeda, Irene
Martinez, Jr., Leobardo
Thompson, Eli
Gorelow, Michelle
Nimsuwan, Paul
Jones, Aimee
Schoen, David
McCullough, Larry
Rebollo, Justin Allen
Scheible, Melanie
West, Brandon
Aizley, Paul
Pazina, Julie
Pickard, Keith
COHEN, LESLEY elizabeth
Watson, Terry L.
Carter, Amber
Cortese, Gregory
Kostas, Socrates
Lee, Charles
Shupe, Larry
BATEMAN, SAMUEL
Aguirre-Insua, Luis
Watson, Kristee
Bunce, Richard
Hardy, Melissa
Carvalho, Amy
Coates, Andrew
Coca, T. Rao
Gutschick, Bob
Cannon, Linda
Keller, Barry
Assefa, Alexander
Henry, LaDon
Lauckner, Kathleen
CANCELA, YVANNA
Henderson, Bryce
Bradley, Joseph J.
Hof, Dennis
Oscarson, James
ELIASON, ROBERT L.
James, Sr., Isaac C.
Martin, Jon
Roundy, Travis
Vega, Jimmy
HOO, KALANI
TYRRELL, NATALIE
Anzalone, John
Spearman, Patricia "Pat"
Stephens, Allison
Vilela, Amy
Zeller, Sid
Gibbs, David Glenn
Hardy, Cresent
Miller, Jeff
Monroe, Mike
Townsend, Bill
Wegner, Kenneth A.
Cato, Jo
Mallory, Jack
Olson, David M.
Perkins, Laura E.
Ramirez, Eddie
MILLS, GREGORY S.
Solomon, Drue R.
Waite, Kyle
Brandon J Casutt
D'AYR, Gabrielle
Levy, Anat "Annette"
Martinez, Susan
Moore, Cinthia
SEIP, II, WALTER L.
York, Gregory
Craddock, Jay
Glazer, Christine
Ohrenschall, James
McMichael, Sr., Donald Sylvantee
Munk, Connie
Smith, Tony T.
Rezendes, Kenneth
Vega, Luis
Kemp, James "JP"
Roberts, Tom
Sanson, Steve
Mercer, L. Kay
Ramaker, Sandra
Withelder, Geno
Kruder, Chuck
Hughes, Shawn L.
THURSTON, DUANE L.
TOONE, RYAN W.
KOLHOSS, RUTH
Backus, Shea
Cornstuble, Rick
Pearce, Robbie Lucille
Laurie, Anthony A.
Wesen, Janice E.
Hambrick, John C.
Alvarado, Stephanie
Loop, Marilyn Dondero
Helgelien, Elizabeth
Rodimer, Dan
Weber, Valerie
Burke, Jason
Chavez, Juan Manuel
Gandy, Michael
Spivak, Andrew
Toomin, Louis A. "Lou"
Watts, III, Howard
Hernandez, Marco
Segerblom, "Tick"
Marsh, Trish
Rose, Randy
Hawkins, Richard E.
Sadler, Matt
Hunt, Jason
Jones, Justin
Black, Tisha
Lake, Cindy
Van Dover, Fred
Engels, John
Thaler, Steven
Murphy, Janet
Rice, Wesley A.
Logan, Deborah "Debbie"
Walsh, Steve
Etchegoyhen, Dion
Tholen, Trent
Brady, David J.
Coverley, Dan
Duffy, Joe
Paris, Dean
Lehmann, Robbe
Moore, Thomas
Chichester, Ross
Glasson, Richard
CRACRAFT-DICKENSON, TAMMIE
WINES, IRA T.
ELLISON, JOHN C.
JOHNSON, CHRIS J.
FEASEL, TERI
CALTON, KENNY
SWETT, NOAH J.
THORNAL, SHAUNIA
BOATMAN, BRIAN E.
CHRISTENSEN, MICHAEL
ORTEGA, MARIA G.
RAY, BRIAN
SANTILLANEZ, CAROLYN
BATES, MICHELLE "Micki"
HIGGINS, PRESTON "P.K."
STEZAKER, MARK
JOHNSON, DANIELLE "Danie"
BROWNFIELD, CARL V.
HARTMAN, MARCIA
BOTELER, JD
ELGAN, KEN
GIOVE, TONY
Fransway, Tom
Hansen, Alexis M.
CLONINGER, JENNIFER
HOEHNE, LISA L.
ANDERSON, ASHLEY E.
FITZWATER, MELISSA
HICKS, ROBIN
IZZOLO, JIM
CANTRELL, Patrick Shane
SANDERS, KENNETH "KENNY"
WATTS, JESSE
BROWN, ELDON R.
Miller, Michelle
Deputy, Glenda J.
Bengochea, Nicole H.
Allen, Mike
Fortune, Denise
Johnson, Michael E.
Jones, Joseph
Melver, Toby
Sunseri, Joseph
Garner, Brian
Sparks, Bryan
Clark, Art "III"
Love, Nicholas A.
Ancho, Kathleen V.
Bakker, Sean
Mason, David R.
Herrera, Theodore C.
Schaeffer, William E. "Bill"
Bunch, Lesley L.
Fuller, Deonilla
Green, Paula
Castellanos, Noliena Frazier
Ramos, "Bert" Bartolo
Unger, Ron
Chopp, Mike
Gonzalez, Jorge
Marine, Laken
Staton, Douglas S. III
Thompson, W. Todd
Hulse, Frank C.
Lister, Bevan
Woodworth, Janine A.
Frehner, Dylan V.
Hooge, Daniel M.
Lloyd, Mick
Avery, Terry
Holton, Nola A.
Mizer, Joseph "Ty"
Poulsen, Wade
Bryan, Nikki
Crabtree, Kimber Lee Ann
Alt, Don
Keller, Vida D.
Nivens, Raymond Everett "Ray"
McIntyre, Neal E.
Peterson, Bridget
Kassebaum, Margie
Wood, Stephen
Brunson, Douglas
Hunewill, Frank
KANTZ, GREG
MCNEIL, AL
Bickerton, Tim
Edgington, Roy
Hanan, Ryan P.
Matheus, Lori
Hicks, Terrin
Johnson, Matt
Murphy, Chris
Seidl, Sue
Sheldon, Dean
Standlee, Kevin
Watson, Luverne "Vern"
Jones, Richard "Rick"
Lacy, Ray
Whalen, Shari L.
Williams, SR., Barry R.
Vecchiarelli, Camille
Clark, Janeen
Tipton, Jerrie
Hoferer, Christine
Owens, Barbara "Barb"
Owens, Russell C.
Utterback, James "Gunny"
SCHAAF, GARY
Fitzgerald, Tom
Schumann, Richard Lee
Womack, Karen
Hatfield, Breanna
James, Mike
Kenner, James W.
Reed, Paula Joe
Farley, Teresa
Neville, Keith E.
Ziegler, David
Castagnola, Kathy
Birchum, Candice
George, Cherrie
Nixon, Cindy
ARABIA, CHRIS
BELLO, ANGELA A.
STUMNE, GINGER L.
BUTLER, GERALD C.
CHAMPION, DAVE
DEMEO, TONY
HIEBERT, DAVID
KULKIN, ASA
MIELZYNSKI, RAY "THE FLAGMAN"
MOFFETT, JOE
PFAFF, TASHA
REX, KENNETH
WEHRLY, SHARON A.
BORASKY, A. BUTCH
PRUDHONT, JOHN
WEBSTER, PAM
ZLOTEK, MARY DAWN
SULLIVAN, GUS
MORONES, ROGER
KLAPPER, JENNIFER
GREBER, KARMIN
CHAMLEE, LISA
HAMILTON, RICHARD F.
JONES, RANDY
MARTIN, ROBERT M.
PAWLIUK, WARREN
BOSKOVICH, RON
TRENNER, TINA
TURNER, WALT
GRANT, RAY T.
NORVELL, JOHN A.
OWENS, MARK
RUST, DONALD E.
LILLY, DWIGHT
MARCHETTI, LEO B.
SCHINHOFEN, DAN
STRICKLAND, DEBRA
SUTTON, TIM
STEPHENS, KAREN
BASSO-CERINI, LAUREEN E.
HODGES, MACKENZIE
SHANK, CAROL A.
EVANS, JAMES
FENNER, ANN-MARIE
HUDSON, MICHAEL
PLUMMER, CINDY
RACKLEY, BARBARA
ALLEN, JERRY
