Name	NumberElected	Office	PrimaryParty
NV House District 13 (Green Party)	1	NV House District 13	Green Party
NV House District 14 (Green Party)	1	NV House District 14	Green Party
NV House District 15 (Green Party)	1	NV House District 15	Green Party
NV House District 16 (Green Party)	1	NV House District 16	Green Party
NV House District 17 (Green Party)	1	NV House District 17	Green Party
NV House District 18 (Green Party)	1	NV House District 18	Green Party
NV House District 19 (Green Party)	1	NV House District 19	Green Party
NV House District 20 (Green Party)	1	NV House District 20	Green Party
NV House District 21 (Green Party)	1	NV House District 21	Green Party
NV House District 22 (Green Party)	1	NV House District 22	Green Party
NV House District 23 (Green Party)	1	NV House District 23	Green Party
NV House District 24 (Green Party)	1	NV House District 24	Green Party
NV House District 25 (Green Party)	1	NV House District 25	Green Party
NV House District 26 (Green Party)	1	NV House District 26	Green Party
NV House District 27 (Green Party)	1	NV House District 27	Green Party
NV House District 28 (Green Party)	1	NV House District 28	Green Party
NV House District 29 (Green Party)	1	NV House District 29	Green Party
NV House District 30 (Green Party)	1	NV House District 30	Green Party
NV House District 31 (Green Party)	1	NV House District 31	Green Party
NV House District 32 (Green Party)	1	NV House District 32	Green Party
NV House District 33 (Green Party)	1	NV House District 33	Green Party
NV House District 34 (Green Party)	1	NV House District 34	Green Party
NV House District 35 (Green Party)	1	NV House District 35	Green Party
NV House District 36 (Green Party)	1	NV House District 36	Green Party
NV House District 37 (Green Party)	1	NV House District 37	Green Party
NV House District 38 (Green Party)	1	NV House District 38	Green Party
NV House District 39 (Green Party)	1	NV House District 39	Green Party
NV House District 40 (Green Party)	1	NV House District 40	Green Party
NV House District 41 (Green Party)	1	NV House District 41	Green Party
NV House District 42 (Green Party)	1	NV House District 42	Green Party
NV Senate District 1 (Green Party)	1	NV Senate District 1	Green Party
NV Senate District 2 (Green Party)	1	NV Senate District 2	Green Party
NV Senate District 3 (Green Party)	1	NV Senate District 3	Green Party
NV Senate District 4 (Green Party)	1	NV Senate District 4	Green Party
NV Senate District 5 (Green Party)	1	NV Senate District 5	Green Party
NV Senate District 6 (Green Party)	1	NV Senate District 6	Green Party
NV Senate District 7 (Green Party)	1	NV Senate District 7	Green Party
NV Senate District 8 (Green Party)	1	NV Senate District 8	Green Party
NV Senate District 9 (Green Party)	1	NV Senate District 9	Green Party
NV Senate District 10 (Green Party)	1	NV Senate District 10	Green Party
NV Senate District 11 (Green Party)	1	NV Senate District 11	Green Party
NV Senate District 12 (Green Party)	1	NV Senate District 12	Green Party
NV Senate District 13 (Green Party)	1	NV Senate District 13	Green Party
NV Senate District 14 (Green Party)	1	NV Senate District 14	Green Party
NV Senate District 15 (Green Party)	1	NV Senate District 15	Green Party
NV Senate District 16 (Green Party)	1	NV Senate District 16	Green Party
NV Senate District 17 (Green Party)	1	NV Senate District 17	Green Party
NV Senate District 18 (Green Party)	1	NV Senate District 18	Green Party
NV Senate District 19 (Green Party)	1	NV Senate District 19	Green Party
NV Senate District 20 (Green Party)	1	NV Senate District 20	Green Party
NV Senate District 21 (Green Party)	1	NV Senate District 21	Green Party
US House NV District 1 (Green Party)	1	US House NV District 1	Green Party
US House NV District 2 (Green Party)	1	US House NV District 2	Green Party
US House NV District 3 (Green Party)	1	US House NV District 3	Green Party
US House NV District 4 (Green Party)	1	US House NV District 4	Green Party
US President (NV) (Green Party)	1	US President (NV)	Green Party
NV Governor (Green Party)	1	NV Governor	Green Party
US Senate NV (Green Party)	1	US Senate NV	Green Party
NV Attorney General (Green Party)	1	NV Attorney General	Green Party
NV Lieutenant Governor (Green Party)	1	NV Lieutenant Governor	Green Party
NV State Treasurer (Green Party)	1	NV State Treasurer	Green Party
NV Secretary of State (Green Party)	1	NV Secretary of State	Green Party
NV State Controller (Green Party)	1	NV State Controller	Green Party
NV House District 1 (Libertarian Party)	1	NV House District 1	Libertarian Party
NV House District 2 (Libertarian Party)	1	NV House District 2	Libertarian Party
NV House District 3 (Libertarian Party)	1	NV House District 3	Libertarian Party
NV House District 4 (Libertarian Party)	1	NV House District 4	Libertarian Party
NV House District 5 (Libertarian Party)	1	NV House District 5	Libertarian Party
NV House District 6 (Libertarian Party)	1	NV House District 6	Libertarian Party
NV House District 7 (Libertarian Party)	1	NV House District 7	Libertarian Party
NV House District 8 (Libertarian Party)	1	NV House District 8	Libertarian Party
NV House District 9 (Libertarian Party)	1	NV House District 9	Libertarian Party
NV House District 10 (Libertarian Party)	1	NV House District 10	Libertarian Party
NV House District 11 (Libertarian Party)	1	NV House District 11	Libertarian Party
NV House District 12 (Libertarian Party)	1	NV House District 12	Libertarian Party
NV House District 13 (Libertarian Party)	1	NV House District 13	Libertarian Party
NV House District 14 (Libertarian Party)	1	NV House District 14	Libertarian Party
NV House District 15 (Libertarian Party)	1	NV House District 15	Libertarian Party
NV House District 16 (Libertarian Party)	1	NV House District 16	Libertarian Party
NV House District 17 (Libertarian Party)	1	NV House District 17	Libertarian Party
NV House District 18 (Libertarian Party)	1	NV House District 18	Libertarian Party
NV House District 19 (Libertarian Party)	1	NV House District 19	Libertarian Party
NV House District 20 (Libertarian Party)	1	NV House District 20	Libertarian Party
NV House District 21 (Libertarian Party)	1	NV House District 21	Libertarian Party
NV House District 22 (Libertarian Party)	1	NV House District 22	Libertarian Party
NV House District 23 (Libertarian Party)	1	NV House District 23	Libertarian Party
NV House District 24 (Libertarian Party)	1	NV House District 24	Libertarian Party
NV House District 25 (Libertarian Party)	1	NV House District 25	Libertarian Party
NV House District 26 (Libertarian Party)	1	NV House District 26	Libertarian Party
NV House District 27 (Libertarian Party)	1	NV House District 27	Libertarian Party
NV House District 28 (Libertarian Party)	1	NV House District 28	Libertarian Party
NV House District 29 (Libertarian Party)	1	NV House District 29	Libertarian Party
NV House District 30 (Libertarian Party)	1	NV House District 30	Libertarian Party
NV House District 31 (Libertarian Party)	1	NV House District 31	Libertarian Party
NV House District 32 (Libertarian Party)	1	NV House District 32	Libertarian Party
NV House District 33 (Libertarian Party)	1	NV House District 33	Libertarian Party
NV House District 34 (Libertarian Party)	1	NV House District 34	Libertarian Party
NV House District 35 (Libertarian Party)	1	NV House District 35	Libertarian Party
NV House District 36 (Libertarian Party)	1	NV House District 36	Libertarian Party
NV House District 37 (Libertarian Party)	1	NV House District 37	Libertarian Party
NV House District 38 (Libertarian Party)	1	NV House District 38	Libertarian Party
NV House District 39 (Libertarian Party)	1	NV House District 39	Libertarian Party
NV House District 40 (Libertarian Party)	1	NV House District 40	Libertarian Party
NV House District 41 (Libertarian Party)	1	NV House District 41	Libertarian Party
NV House District 42 (Libertarian Party)	1	NV House District 42	Libertarian Party
NV Senate District 1 (Libertarian Party)	1	NV Senate District 1	Libertarian Party
NV Senate District 2 (Libertarian Party)	1	NV Senate District 2	Libertarian Party
NV Senate District 3 (Libertarian Party)	1	NV Senate District 3	Libertarian Party
NV Senate District 4 (Libertarian Party)	1	NV Senate District 4	Libertarian Party
NV Senate District 5 (Libertarian Party)	1	NV Senate District 5	Libertarian Party
NV Senate District 6 (Libertarian Party)	1	NV Senate District 6	Libertarian Party
NV Senate District 7 (Libertarian Party)	1	NV Senate District 7	Libertarian Party
NV Senate District 8 (Libertarian Party)	1	NV Senate District 8	Libertarian Party
NV Senate District 9 (Libertarian Party)	1	NV Senate District 9	Libertarian Party
NV Senate District 10 (Libertarian Party)	1	NV Senate District 10	Libertarian Party
NV Senate District 11 (Libertarian Party)	1	NV Senate District 11	Libertarian Party
NV Senate District 12 (Libertarian Party)	1	NV Senate District 12	Libertarian Party
NV Senate District 13 (Libertarian Party)	1	NV Senate District 13	Libertarian Party
NV Senate District 14 (Libertarian Party)	1	NV Senate District 14	Libertarian Party
NV Senate District 15 (Libertarian Party)	1	NV Senate District 15	Libertarian Party
NV Senate District 16 (Libertarian Party)	1	NV Senate District 16	Libertarian Party
NV Senate District 17 (Libertarian Party)	1	NV Senate District 17	Libertarian Party
NV Senate District 18 (Libertarian Party)	1	NV Senate District 18	Libertarian Party
NV Senate District 19 (Libertarian Party)	1	NV Senate District 19	Libertarian Party
NV Senate District 20 (Libertarian Party)	1	NV Senate District 20	Libertarian Party
NV Senate District 21 (Libertarian Party)	1	NV Senate District 21	Libertarian Party
US House NV District 1 (Libertarian Party)	1	US House NV District 1	Libertarian Party
US House NV District 2 (Libertarian Party)	1	US House NV District 2	Libertarian Party
US House NV District 3 (Libertarian Party)	1	US House NV District 3	Libertarian Party
US House NV District 4 (Libertarian Party)	1	US House NV District 4	Libertarian Party
US President (NV) (Libertarian Party)	1	US President (NV)	Libertarian Party
NV Governor (Libertarian Party)	1	NV Governor	Libertarian Party
US Senate NV (Libertarian Party)	1	US Senate NV	Libertarian Party
NV Attorney General (Libertarian Party)	1	NV Attorney General	Libertarian Party
NV Lieutenant Governor (Libertarian Party)	1	NV Lieutenant Governor	Libertarian Party
NV State Treasurer (Libertarian Party)	1	NV State Treasurer	Libertarian Party
NV Secretary of State (Libertarian Party)	1	NV Secretary of State	Libertarian Party
NV State Controller (Libertarian Party)	1	NV State Controller	Libertarian Party

